feature,summary,sample,x,y,sample_text
14923,Endemic species locations,"""It is endemic to the Chatham Islands.""",7.5470185,4.3176575,It is endemic to the Chatham Islands.
14924,"Annual, Sports Championship, Titles (or Awards)","""1995 British Speedway Championship was the 1995 edition of the British Speedway Championship.""",13.315209,2.2035017,1995 British Speedway Championship was the 1995 edition of the British Speedway Championship.
14925,"Cities, Countries, Languages, Public Facilities","""It serves Baramati city.""",11.036566,8.563646,It serves Baramati city.
14926,"Individuals, Titles, or Locations","""Tracy is a train station in southern Tracy, California on the edge of the San Francisco Bay Area.""",9.27682,7.472016,"Tracy is a train station in southern Tracy, California on the edge of the San Francisco Bay Area."
14927,Individuals Named John*son (or Variations),"""He was succeeded by Alexander Johnston.""",13.707122,7.727134,He was succeeded by Alexander Johnston.
14928,Auburn Connections,"""After spending two years working in the ticket office, he began teaching journalism classes to young Auburn students.""",10.788708,6.639766,"After spending two years working in the ticket office, he began teaching journalism classes to young Auburn students."
14929,"County Seats, Boros, Locations (in United States)","""Its county seat is Jonesboro.""",8.837376,9.039439,Its county seat is Jonesboro.
14930,"Cities, Education, Cultural Events","""He returned to Kyoto in 1946.""",9.4617815,7.0194607,He returned to Kyoto in 1946.
14931,"Football History, Sports Competitions, Dutch-Related Events","""The Dutch Eerste Divisie in the 1977/1978 season was contested by 19 teams.""",13.334619,4.171294,The Dutch Eerste Divisie in the 1977/1978 season was contested by 19 teams.
14932,Sports Statistics and Careers,"""In 1963, he set an AFL single season record with 12 interceptions.""",13.540521,4.864783,"In 1963, he set an AFL single season record with 12 interceptions."
14933,1950s Timeframe,"""Rates of disease have increased since the 1950s.""",13.070868,0.9107251,Rates of disease have increased since the 1950s.
14934,Individuals and entities based globally,"""She is based in Scotland.""",7.7653446,3.536165,She is based in Scotland.
14935,Places and Historical Associations,"""Whitehurst was a harsh critic of conduct at the Lab.""",8.77839,7.9243197,Whitehurst was a harsh critic of conduct at the Lab.
14936,"High Traffic, User Base, Subscriber Counts","""CafeMom gets more than 8 million unique visitors a month, accounting for over 140 million page views.""",7.38357,0.80956495,"CafeMom gets more than 8 million unique visitors a month, accounting for over 140 million page views."
14937,Produced by various music creators,"""It was produced by Billy Swan.""",9.934011,0.17271075,It was produced by Billy Swan.
14938,"Multi-group, Education, Population statistics","""It has 14 congregations.""",7.466633,1.2424568,It has 14 congregations.
14939,"Founders and Foundings, Organizational Creation, Leadership Initiatives","""Rosalie Cunningham founded Purson.""",10.740768,1.4965522,Rosalie Cunningham founded Purson.
14940,"Matches, Sports Venues, Timeframes (or Schedules)","""It is currently reserved mostly for football matches.""",13.563049,3.503755,It is currently reserved mostly for football matches.
14941,"Agricultural Production and Industries, Trade, Geographical Regions","""Later Italian immigrants also entered wine production.""",9.180849,3.3786607,Later Italian immigrants also entered wine production.
14942,Threatened by Habitat Loss,"""They are threatened by predation and habitat destruction.""",8.577954,3.9152253,They are threatened by predation and habitat destruction.
14943,Tennessee Locations and Associations,"""He attended the University of Tennessee.""",9.339844,7.82795,He attended the University of Tennessee.
14944,Upper Geographical Locations/Regions,"""The upper boundary corresponds to the beginning of the Wuliuan.""",12.041451,4.778329,The upper boundary corresponds to the beginning of the Wuliuan.
14945,Local Governments and Constituencies in Various Boroughs,"""This is a list of public art in the London Borough of Waltham Forest.""",8.702264,9.148287,This is a list of public art in the London Borough of Waltham Forest.
14946,Accessibility in Locations,"""It is directly accessible via the STAR Tollway.""",7.551426,4.169405,It is directly accessible via the STAR Tollway.
14947,"Team, History, Competition","""The team was formed 35 years ago.""",13.144871,3.7124672,The team was formed 35 years ago.
14948,"Higher Education Institutions, Recognition, Diverse Programs","""The College is the oldest in the state of Florida.""",12.241009,4.3004107,The College is the oldest in the state of Florida.
14949,Water-soluble substances,"""This red solid dye is very water-soluble.""",8.757646,4.2605243,This red solid dye is very water-soluble.
14950,"Performance, Broadly Defined (includes artistic, athletic, IT, engineering, and business contexts)","""His best performance was 3/31.""",10.378855,-0.082164876,His best performance was 3/31.
14951,"Film, Music, Production (or Creation)","""The film was made by Twickenham Film Studios.""",9.987924,0.33599362,The film was made by Twickenham Film Studios.
14952,Locations in the Carolinas,"""He currently races on short tracks in North Carolina.""",9.407266,7.341851,He currently races on short tracks in North Carolina.
14953,Zimbabwean Connections,"""His debut was against Zimbabwe.""",11.319744,7.104052,His debut was against Zimbabwe.
14954,"Installation, Systems, Equipment","""And Ranging)was installed.""",8.572233,3.7179422,And Ranging)was installed.
14955,"Educators and Coaches, Across Universities, and Institutions","""Previously he had taught at the University of Padua.""",12.326316,3.7113218,Previously he had taught at the University of Padua.
14956,Chairperson Appointments,"""The council appoints one councilor who is then known as the Chairman or Chairwoman.""",12.155808,3.2462451,The council appoints one councilor who is then known as the Chairman or Chairwoman.
14957,"Strain Identifications, Type Species, and Varieties","""The type strain is CIP 105274.""",7.3491936,5.7212725,The type strain is CIP 105274.
14958,"Aquatic, Aquarium, Marine Life","""It is also a popular aquarium plant.""",8.712147,5.9933534,It is also a popular aquarium plant.
14959,"Saturn-related topics, Historical figures, Latin words and origins","""It starts with Saturn and finishes with Romulus.""",11.075033,6.580139,It starts with Saturn and finishes with Romulus.
14960,"Red, Variety, and Context (Red River, Red Records, Red Laser, Redman, Red Hot Music, Red Sand Stone, Red Foxes, Red Cards, Redhorse, Red Larvae, Red Cairn, ""Seeing Red"", Blood Red Sky, Coral Red, Sulfur Yellow, Red Valley, Red Level, Red Bottlebrush, Red Beetroot, Red Food Coloring, Red Solstice)","""The Red River forms its western boundary.""",10.719719,5.2750883,The Red River forms its western boundary.
14961,"Historical Timeline, Varied Topics, Dates Mentioned","""It starts with Saturn and finishes with Romulus.""",12.444287,0.73784274,It starts with Saturn and finishes with Romulus.
14962,"Military installations and historical use, Educational conversion, and Historical military connections","""Queen Elizabeth Barracks was a military installation at Church Crookham, Hampshire, England.""",11.204211,4.3203087,"Queen Elizabeth Barracks was a military installation at Church Crookham, Hampshire, England."
14963,"Software Development Tools Integration, Automation, and Customization","""Zend Studio is also integrated with Zend Framework.""",8.823809,3.3420208,Zend Studio is also integrated with Zend Framework.
14964,"Establishment and Termination of Entities, Cultural and Artistic Pursuits, Geographical Locations","""Panther Creek was established in 2006.""",12.812575,0.77067,Panther Creek was established in 2006.
14965,Adult Contemporary Chart Success,"""All four experienced moderate success on the Billboard Adult Contemporary chart.""",9.167213,-0.04538584,All four experienced moderate success on the Billboard Adult Contemporary chart.
14966,"Substances with Variable, Medical, and Environmental Impact","""It can cause disease in humans.""",8.213577,2.7029276,It can cause disease in humans.
14967,"Preventive Measures, Efficiency, Safety, Conservation, Control","""This setup allows for portability and continuity.""",8.998363,2.7240374,This setup allows for portability and continuity.
14968,"Online Services, Digital Transition, Internet Usage","""It offers online services in addition to physical location access.""",8.847152,3.7425215,It offers online services in addition to physical location access.
14969,"Historical Wargames, Military Applications, World War II Combat","""Warhammer Historical Wargames published historical wargames including Warhammer Ancient Battles.""",9.6503525,4.3825026,Warhammer Historical Wargames published historical wargames including Warhammer Ancient Battles.
14970,"Established Entities, Sports Events, Geographical Locations","""Aiai supports and is driven by and based on the Independent Living philosophy.""",10.93361,7.945142,Aiai supports and is driven by and based on the Independent Living philosophy.
14971,"Individuals or places named Burke, Varied Professions and Locations","""Burke was engaged to actor and comic Matt Peters in June 2012.""",9.640746,9.385244,Burke was engaged to actor and comic Matt Peters in June 2012.
14972,"Public Service, Leadership Roles, Political Appointments","""From 1997 to 2000 he served as consul-general in Hong Kong.""",12.662612,2.3897793,From 1997 to 2000 he served as consul-general in Hong Kong.
14973,"Pure Koches, Geographical Locations, Individuals","""He believed them to be only pure Koches in existence.""",10.590053,8.914838,He believed them to be only pure Koches in existence.
14974,"Agriculture, Economy, Village/Region","""The economy in the village is primarily agricultural.""",8.274753,5.0741568,The economy in the village is primarily agricultural.
14975,"Weather, Forecasting, Meteorology","""NOAA Weather Radio stations are not listed.""",8.580615,5.574298,NOAA Weather Radio stations are not listed.
14976,Various Federations and Organizations,"""The federation dissolved in the 1880s.""",10.154534,5.6708536,The federation dissolved in the 1880s.
14977,Ocean-related Entities or Occurrences,"""Ocean was commissioned for service in April 1761 under Captain William Langdon.""",8.893892,6.3472733,Ocean was commissioned for service in April 1761 under Captain William Langdon.
14978,"Women Leadership, Awards, Firsts in Fields","""Eleanor Hall is currently host of the program.""",12.268124,7.260555,Eleanor Hall is currently host of the program.
14979,"Titles, Individuals, or Topics (varied)","""Reap is an arcade shooter.""",11.2194195,5.0475955,Reap is an arcade shooter.
14980,"Internet Challenges, Competitions, Racing/Sports Events","""The condom challenges are three viral Internet challenges.""",12.986499,2.7274985,The condom challenges are three viral Internet challenges.
14981,"Caribbean Country, Cuban Topics, Geographical and Cultural Facts","""Cuba is an island country in the Caribbean Sea.""",11.162045,6.8153563,Cuba is an island country in the Caribbean Sea.
14982,"Geographical distribution, Species origin, Various countries.","""It is known from Mexico, Colombia, and Venezuela.""",8.336338,0.9967099,"It is known from Mexico, Colombia, and Venezuela."
14983,"Ships and vessels, construction and decommissioning","""Her keel was laid on 13 July 1953.""",11.377975,1.6666038,Her keel was laid on 13 July 1953.
14984,Top Athletic Finishes,"""He has 19 top-10 finishes in PGA Tour events and 18 top-10 finishes in Nationwide Tour events.""",12.97003,2.6893785,He has 19 top-10 finishes in PGA Tour events and 18 top-10 finishes in Nationwide Tour events.
14985,"Surnames, Geographical Locations, Individuals (Notable People)","""Belshaw is a French surname.""",9.645793,7.461932,Belshaw is a French surname.
14986,"Processing, Transforming, Consumption","""They are crushed, dried, and used in tea, and consumed fresh also.""",8.94036,3.1213496,"They are crushed, dried, and used in tea, and consumed fresh also."
14987,Military Ranks and Hierarchy,"""Instead, personnel who are not commissioned officers are referred to as other ranks.""",11.59248,4.0921464,"Instead, personnel who are not commissioned officers are referred to as other ranks."
14988,Perry-Related Entities,"""The song was produced by Richard Perry.""",8.360387,7.028672,The song was produced by Richard Perry.
14989,Locations named Baldwin,"""Baldwin is a town in Duval County, Florida, United States.""",9.579067,9.139794,"Baldwin is a town in Duval County, Florida, United States."
14990,"Individuals from diverse fields, primarily associated with India and arts.","""She is the daughter of American spiritual guru Adi Da.""",11.052529,8.516301,She is the daughter of American spiritual guru Adi Da.
14991,Ethnic and Geographical Origins,"""She is of Lithuanian descent.""",11.943984,2.8967957,She is of Lithuanian descent.
14992,Locations Named Montgomery,"""Its county seat is Montgomery City.""",11.994718,8.216062,Its county seat is Montgomery City.
14993,"Aquatic or Desert Plant, Medicinal and Decorative Uses, Unknown Life Cycle.","""It is also a popular aquarium plant.""",7.7033505,5.695843,It is also a popular aquarium plant.
14994,"Animals, Geography, Various Species or Structures","""Short forms are Frannie, Frans and Fran.""",10.673827,7.1053295,"Short forms are Frannie, Frans and Fran."
14995,"Remote Control, Communication, Distance Access","""Remotely created checks are susceptible to fraud.""",8.598627,3.39807,Remotely created checks are susceptible to fraud.
14996,"Places associated with various names (e.g., cities, villages, districts, towns, counties, hundreds).","""He was born in Waterford.""",10.120059,5.2961383,He was born in Waterford.
14997,"Enhanced Remakes, Classic Games, Cross-Platform Releases","""In June 2015, a DOS version called Retro City Rampage 486 was announced with the majority of its features left intact.""",11.50073,-0.27114004,"In June 2015, a DOS version called Retro City Rampage 486 was announced with the majority of its features left intact."
14998,"Books, Characters, Miscellaneous Facts","""Hosted by Janice Lieberman.""",8.889093,1.5798142,Hosted by Janice Lieberman.
14999,"Television Shows/Music Videos on MTV, TLC, VH1","""The video was frequently featured on MTV.""",11.227413,0.16477434,The video was frequently featured on MTV.
15000,"Electronic Arts, Video Games, Various Dates","""EA announced that all servers would be turned off on May 12, 2014.""",11.29041,4.3115306,"EA announced that all servers would be turned off on May 12, 2014."
15001,"Automotive Manufacturing, Brands, Competition","""The new company purchased the majority of the assets of the old GM, including the brand \""General Motors\"".""",7.971211,4.6450577,"The new company purchased the majority of the assets of the old GM, including the brand ""General Motors""."
15002,"Meetings, Gatherings, Encounters","""The meeting changed Tonga's life.""",11.151653,2.9787383,The meeting changed Tonga's life.
15003,"Mumbai Connections, Education, and Narratives","""It is considered a popular college in Mumbai.""",12.004952,8.154682,It is considered a popular college in Mumbai.
15004,"Events, People, Names, Locations (Geographical or Fictional)","""A final poll was taken after completion of the 2017 NAIA Football National Championship.""",10.818207,7.835831,A final poll was taken after completion of the 2017 NAIA Football National Championship.
15005,"State Parks, Historical Sites, Geographical Locations","""Little River State Park was established in 1931.""",12.761549,3.5902314,Little River State Park was established in 1931.
15006,"Organizations, Events, Locations","""The Philippines club San Miguel won it in 2005.""",7.5690494,3.5903728,The Philippines club San Miguel won it in 2005.
15007,"Artists and their work, Across cultures and mediums.","""Baird became an Official War Artist in 1942.""",10.393169,1.4637678,Baird became an Official War Artist in 1942.
15008,"Interviews, Selection Processes, Communication","""The bartender interview is one of its more popular sections.""",10.476931,1.0405406,The bartender interview is one of its more popular sections.
15009,Media Coverage and Public Attention,"""The motions drew national media coverage.""",10.008903,1.6288452,The motions drew national media coverage.
15010,"Geographical Locations, Individuals, Cultural Events","""CAHDI meets twice a year.""",10.909132,8.267076,CAHDI meets twice a year.
15011,"Wi-Fi Connections/Networks, Devices, Technologies","""In addition, the game operates with the Nintendo Wi-Fi Connection system.""",8.430261,2.6483374,"In addition, the game operates with the Nintendo Wi-Fi Connection system."
15012,Ritual Practices and Religion,"""The majority of filming took place during the recording sessions of Ritual de lo Habitual, in 1990.""",10.769569,5.3469853,"The majority of filming took place during the recording sessions of Ritual de lo Habitual, in 1990."
15013,Blues Music and Artists,"""The Blues play their home games at Frankston Stadium.""",9.064655,9.6732235,The Blues play their home games at Frankston Stadium.
15014,"Vegetation, Names, Codes (or Labels)","""Its characteristic vegetation is pindan woodland.""",8.706603,6.983527,Its characteristic vegetation is pindan woodland.
15015,Geographical Locations,"""At Dudley the OWWR and South Staffordshire Line to Walsall met.""",7.9261518,7.800371,At Dudley the OWWR and South Staffordshire Line to Walsall met.
15016,"Individuals, Locations, Entities (Managed/Lived/Transmitted/Located/Based)","""They are currently managed by Alan Roche.""",11.200688,5.5426254,They are currently managed by Alan Roche.
15017,Dutch/Belgian Individuals and Entities,"""Van Dijk studied law at Utrecht University.""",9.956614,9.686902,Van Dijk studied law at Utrecht University.
15018,"Architecture, Locations, Diverse Topics","""It shows elements of Greek Revival and Italianate architecture.""",8.464356,2.1886468,It shows elements of Greek Revival and Italianate architecture.
15019,Meat-related Topics,"""They were developed as a meat breed.""",8.256432,5.6625314,They were developed as a meat breed.
15020,"Tipperary, GAA, Location","""The club are part of the North Tipperary GAA division.""",9.407379,7.8598833,The club are part of the North Tipperary GAA division.
15021,"Writing Systems, Languages, Alphabets","""Optical Character Recognition is a Unicode block containing signal characters for OCR standards.""",9.135597,0.6544403,Optical Character Recognition is a Unicode block containing signal characters for OCR standards.
15022,Bluegrass Music Events and Artists,"""Tallgrass Brewing Company is a craft brewery in Manhattan, KS.""",9.576458,-0.995254,"Tallgrass Brewing Company is a craft brewery in Manhattan, KS."
15023,"Individuals associated with the name ""Fuller/Fulcher/Fulkerson/Fulvia"", diverse professions and locations.","""Fuller's son, Jeffrey Fuller, is currently playing for the Toronto Argonauts of the Canadian Football League.""",10.0483465,5.7709637,"Fuller's son, Jeffrey Fuller, is currently playing for the Toronto Argonauts of the Canadian Football League."
15024,"Song chart performance, Country music rankings, Billboard/RPM rankings","""The song hit number one in the United States on the Hot Country Singles charts.""",9.63707,-1.0786679,The song hit number one in the United States on the Hot Country Singles charts.
15025,Singer-songwriters (from various countries),"""Laura Branigan was an American singer and songwriter.""",9.889381,-0.75785017,Laura Branigan was an American singer and songwriter.
15026,"Popularity in Culture, circa 1900-Present","""They were popular in Europe circa 1900.""",8.535419,2.3222082,They were popular in Europe circa 1900.
15027,Facility Locations and Histories,"""The facility is located 45 miles west of Chicago.""",9.403841,4.063029,The facility is located 45 miles west of Chicago.
15028,"Food and Agriculture, Consumption, Trade","""They were frequently accompanied with a glass of beer.""",8.630819,2.956414,They were frequently accompanied with a glass of beer.
15029,Lawrence-Related Topics,"""North of Lawrence Square is Yorkdale Shopping Center.""",9.652158,6.9564867,North of Lawrence Square is Yorkdale Shopping Center.
15030,"Kiss, Appearances, Locations (Kissimmee)","""Kiss was generally positively reviewed by critics.""",10.88449,9.15416,Kiss was generally positively reviewed by critics.
15031,"Celestial Objects, Threats, Miscellaneous Entities","""Its apparent magnitude is 6.69.""",7.0159755,2.4225383,Its apparent magnitude is 6.69.
15032,"Geographically Diverse Locations, Historical Figures, and Cultural Symbols","""Sultansuyu Dam is a dam in Turkey.""",10.693995,7.793282,Sultansuyu Dam is a dam in Turkey.
15033,"Professional Musicians, Actors, Varied Bands","""His parents were the tenor Walter Midgley and the pianist Gladys Vernon.""",12.062155,2.6543412,His parents were the tenor Walter Midgley and the pianist Gladys Vernon.
15034,New Zealand Connection,"""It occurs in New Zealand and Australia.""",7.334509,8.94971,It occurs in New Zealand and Australia.
15035,"Producing, Growing, or Manufacturing","""Streptomyces filamentosus produces caryomycin.""",9.01866,3.1539876,Streptomyces filamentosus produces caryomycin.
15036,Youth International Sports Representatives,"""He has also represented England at under-19 level.""",12.675198,4.0841026,He has also represented England at under-19 level.
15037,"Fairies, Disney, Folklore","""It is one of several genera known as fairy shrimp.""",10.661735,0.7336731,It is one of several genera known as fairy shrimp.
15038,"Organizational Names (with ""IM"" prefix), Individuals, and Miscellaneous Topics","""Immagine is a registered non-profit organization based in Kerala, India.""",11.007411,5.190082,"Immagine is a registered non-profit organization based in Kerala, India."
15039,Brick Architecture and Buildings,"""A new brick church was constructed in 1828.""",10.23654,2.0209944,A new brick church was constructed in 1828.
15040,"Apples, Games, Names, Devices","""Apple were a British psychedelic rock band.""",8.5118685,3.5786939,Apple were a British psychedelic rock band.
15041,"People, Names, Associations","""C. Hughes is an American actress.""",8.721953,8.139594,C. Hughes is an American actress.
15042,"People, Places, Names (Surnames, Given Names, Nicknames)","""Pauss is a Norwegian surname.""",10.793447,7.333432,Pauss is a Norwegian surname.
15043,"Population Statistics, Geographical Locations, Community Sizes","""The population of the commune was estimated to be approximately 45,000 in 2001 commune census.""",6.794391,1.1199342,"The population of the commune was estimated to be approximately 45,000 in 2001 commune census."
15044,"Mascot Identification, School or Organization, Various Characters","""The mascot is the Admirals.""",11.738329,4.363576,The mascot is the Admirals.
15045,Number of Components or Parts,"""The bank operates 43 branches.""",7.542213,1.3757193,The bank operates 43 branches.
15046,"Magazines, Varied Topics","""I Love Cats magazine.""",10.984502,0.8784534,I Love Cats magazine.
15047,"Individuals, Locations, and Sports","""The station serves the Rio Grande Valley.""",11.089562,6.5034485,The station serves the Rio Grande Valley.
15048,Previous Roles/Positions/Experiences,"""His previous positions include Vice President at Stockmann.""",10.998633,2.0596535,His previous positions include Vice President at Stockmann.
15049,Military Units and History,"""The regiment returned to England in 1783 and was disbanded.""",11.306314,4.7483015,The regiment returned to England in 1783 and was disbanded.
15050,"Kazakhstan, Events, People, Languages","""He has citizenship of Kazakhstan.""",10.999363,9.118088,He has citizenship of Kazakhstan.
15051,Significant Media Attention,"""His marriage received significant media attention.""",10.01953,1.7066662,His marriage received significant media attention.
15052,"Total Production Numbers, Historical Manufacturing, Aviation and Vehicle Counts","""In 2013 total numbers for the breed were 240.""",8.051236,1.5727763,In 2013 total numbers for the breed were 240.
15053,"Individuals with the surname Reid, diverse achievements.","""Reid has four sons and four grandchildren.""",10.620766,5.5175614,Reid has four sons and four grandchildren.
15054,"Electrical Systems, Components, Engineering","""These sizes are grouped by rated current and power.""",9.085271,4.438274,These sizes are grouped by rated current and power.
15055,Hong Kong Connections,"""End of year tour to travel to Hong Kong and Britain.""",10.640957,9.369537,End of year tour to travel to Hong Kong and Britain.
15056,"Armenian Culture, History, and Relations","""This is a list of diplomatic missions of Armenia.""",11.475502,7.031469,This is a list of diplomatic missions of Armenia.
15057,"Pizza and Piazzas, Italy, Food and Locations","""The first Pizza Haven outlet was at Glenelg in Adelaide.""",11.220784,7.788603,The first Pizza Haven outlet was at Glenelg in Adelaide.
15058,"Women, Lives, Connections","""She married and moved to Montreal.""",8.475458,-0.49131048,She married and moved to Montreal.
15059,"Varied Subjects, Miscellaneous Entities","""There are exceptions.""",8.8779745,1.4116237,There are exceptions.
15060,"Statistics, Statistical Analysis, Statisticians","""StatSoft is the original developer of Statistica.""",9.273784,3.4174795,StatSoft is the original developer of Statistica.
15061,"Geographical Entities, Historical/Cultural References, Human Entities (Places, People, Companies)","""Marcus is an unincorporated community in Carroll County, Illinois, United States.""",10.105885,6.9104996,"Marcus is an unincorporated community in Carroll County, Illinois, United States."
15062,"Release Dates, Various Years","""It was released on November 29, 2011.""",11.935337,-0.4849514,"It was released on November 29, 2011."
15063,Geographical Locations and Athletic Events,"""The 1996 census placed Rayleigh's population at 2,222 people.""",9.955297,7.7303953,"The 1996 census placed Rayleigh's population at 2,222 people."
15064,"Spectator capacities or seating, incidents, and annular eclipse","""This stadium can accommodate 3,000 spectators.""",7.6248207,1.1147009,"This stadium can accommodate 3,000 spectators."
15065,"Salt, Names, Characters","""Salt is then added to taste.""",9.989538,6.5230446,Salt is then added to taste.
15066,"American Professionals, International Figures, Artists and Writers","""Matt Cavotta is an American artist and writer.""",11.863248,5.1217413,Matt Cavotta is an American artist and writer.
15067,"Individuals named Elliott, Various Contexts","""Verrone received 1301 votes; Elliott received 591.""",11.802833,6.4790945,Verrone received 1301 votes; Elliott received 591.
15068,"Grammar Schools, Education, Alumni","""He attended school locally (Trenton Grammar School) and Upper Canada College, Toronto.""",12.065292,4.0516515,"He attended school locally (Trenton Grammar School) and Upper Canada College, Toronto."
15069,"Mammals/Insects, Color Variation, Body Description","""Adults are pale brown.""",7.9243608,4.954875,Adults are pale brown.
15070,"Titles or Songs, Film or Album References","""Is Anyone Up?""",9.071463,1.7015822,Is Anyone Up?
15071,Hamburg-Related Topics,"""It is headquartered in Hamburg.""",8.857108,8.358247,It is headquartered in Hamburg.
15072,"Travel, Expansion, Geographical Diversity","""He traveled extensively while in the service.""",8.285092,1.8278183,He traveled extensively while in the service.
15073,"""Stepping"" or ""Steps-Related""","""The film was followed by Step Up 3D, released in 2010.""",8.649316,5.577387,"The film was followed by Step Up 3D, released in 2010."
15074,"Geographic Locations, Artists/Writers, Historical Entities","""The school has its campuses in both Port Harcourt city and Igwuruta.""",10.3368025,7.7482553,The school has its campuses in both Port Harcourt city and Igwuruta.
15075,"Establishment, Launch, Historical Event","""Shiva were themselves acquired by Intel in 1998, and Shiva Europe Ltd. was liquidated the following year.""",12.473612,0.5792945,"Shiva were themselves acquired by Intel in 1998, and Shiva Europe Ltd. was liquidated the following year."
15076,"Alternate History, Sigma (Name or Term), Organization/Entity","""Enigma is an alternate history game that takes place in the World War II era.""",10.737818,7.8805103,Enigma is an alternate history game that takes place in the World War II era.
15077,"Married individuals, varied professions","""He is married to Irene Rena Sterling.""",15.137966,3.7393656,He is married to Irene Rena Sterling.
15078,Pubs and local communities,"""Pub names may preserve folk traditions.""",7.903404,7.346158,Pub names may preserve folk traditions.
15079,Broadcast Dates/Television Programs,"""It was first broadcast on 4 February 2015.""",11.441681,0.31899637,It was first broadcast on 4 February 2015.
15080,Carroll-Related Entities,"""It is also known as Daniel Carroll's House.""",9.774258,6.513233,It is also known as Daniel Carroll's House.
15081,"Events, Places, Individuals (or People)","""The election was held on 29/30 March 1901.""",10.745556,1.481175,The election was held on 29/30 March 1901.
15082,"Players, Sports, Representations","""Perin played five times for Australia.""",13.461245,3.8708103,Perin played five times for Australia.
15083,Individuals named Hardy/Harding (or variants),"""Love, Pepper and Sweets is a 1915 American silent comedy film featuring Oliver Hardy.""",8.53692,8.06065,"Love, Pepper and Sweets is a 1915 American silent comedy film featuring Oliver Hardy."
15084,"Drawing, Drafts, Matches","""The draw of the tournament was held on 4 May 2017.""",10.729892,1.2746836,The draw of the tournament was held on 4 May 2017.
15085,"Athletic Achievements, Competition Wins, Sports Careers","""Ahn also became a car racing driver in 2004.""",13.268546,2.0539644,Ahn also became a car racing driver in 2004.
15086,"Tour, Exploration, Visitation","""The Birmingham Branch no longer conducts tours.""",10.728305,0.9843373,The Birmingham Branch no longer conducts tours.
15087,France-Related Topics,"""A list of films produced in France in 2003.""",10.548914,7.7415543,A list of films produced in France in 2003.
15088,Log Cabins/Cottages/Historic Structures,"""The first log cabin was built by Ruben Spalding.""",8.378388,4.9924316,The first log cabin was built by Ruben Spalding.
15089,"Digital Releases, Downloads, Distribution","""It was released digitally on 10 July 2012.""",8.88974,3.9174502,It was released digitally on 10 July 2012.
15090,"Public Figures, Cross-Cultural Representation, Multifaceted Careers","""He has toured India several times.""",11.150429,2.1200895,He has toured India several times.
15091,"Individuals, Events, Locations, Titles","""Gaur's educational qualification is BA.""",9.770739,8.867335,Gaur's educational qualification is BA.
15092,Succession Transfers of Authority,"""Succession is governed by absolute primogeniture.""",10.608545,2.060118,Succession is governed by absolute primogeniture.
15093,Commonwealth Games Participation and Results,"""He was also selected for the 2014 Commonwealth Games in Scotland.""",12.7974615,5.5170383,He was also selected for the 2014 Commonwealth Games in Scotland.
15094,"Individuals or Titles Associated (Ron, Amy, Bobby, John D. Roth, Rick Rock, Hank Solo, Ron Davis, Ron Smith, Lil Rob, Post Malone, Rex Kudo, McCarthy, Greg Ross, Sharon Ross, Ron the Ripper, Kevin Harvick Incorporated, RCN TV network, Rob de Vos)","""Ron, Amy and Bobby also starred in the series' spinoff, Lizard Lick Towing.""",10.726659,6.5274897,"Ron, Amy and Bobby also starred in the series' spinoff, Lizard Lick Towing."
15095,Educational Institutions,"""Established in 1985, it was the first such institute in India.""",11.173985,4.947583,"Established in 1985, it was the first such institute in India."
15096,City Landmarks and Locations,"""It is the oldest high school in the city.""",6.58226,3.1993573,It is the oldest high school in the city.
15097,Last Occurrences or Dates,"""Statistics are updated as of 30 May 2018.""",11.556264,1.4380174,Statistics are updated as of 30 May 2018.
15098,Viking-Related Entities or Individuals,"""Viking is a city in Marshall County, Minnesota, United States.""",9.040232,8.430644,"Viking is a city in Marshall County, Minnesota, United States."
15099,Edmonton-Related Topics,"""FC Edmonton played its Canadian Championship matches at Commonwealth Stadium from 2011-2013.""",11.61294,6.6869173,FC Edmonton played its Canadian Championship matches at Commonwealth Stadium from 2011-2013.
15100,"Transformation Processes, Application Techniques, System Combination","""The formation of cellular compartments is called compartmentalization.""",9.297078,3.8631604,The formation of cellular compartments is called compartmentalization.
15101,Individuals named Bryant/Bryson/Bryan/Byron,"""Bryson is winner of two Grammy Awards.""",9.331432,9.054012,Bryson is winner of two Grammy Awards.
15102,"Album Tracks, Singles, Varied Themes","""It features the songs \""Every Moment\"", \""Surrender\"", \""I Wonder\"" and the title track.""",10.365821,-0.779656,"It features the songs ""Every Moment"", ""Surrender"", ""I Wonder"" and the title track."
15103,Tennis tournaments on various court surfaces,"""The 2014 Jalisco Open was a professional tennis tournament played on hard courts.""",13.232264,5.3965187,The 2014 Jalisco Open was a professional tennis tournament played on hard courts.
15104,Editors and Editorial Roles,"""Dandoy was the chief editor.""",10.787795,1.8739207,Dandoy was the chief editor.
15105,North Carolina Locations,"""Harnett County is a county located in the U.S. state of North Carolina.""",9.171243,7.4828625,Harnett County is a county located in the U.S. state of North Carolina.
15106,Byzantine Historical Context,"""In AD 1453, the city of Constantinople, the capital and last stronghold of the Byzantine Empire, fell to the Ottoman Empire.""",10.881341,5.6611843,"In AD 1453, the city of Constantinople, the capital and last stronghold of the Byzantine Empire, fell to the Ottoman Empire."
15107,"Reproductive Health, Gynecology, Female Anatomy, Medical Conditions, Women's Health","""This pouch is an important anatomical landmark for chronic endometriosis.""",9.316869,4.423392,This pouch is an important anatomical landmark for chronic endometriosis.
